"repo";"nb_user_repo";"nb_user_repo_with_social";"Rs"
"presidentbeef/brakeman";3;1;0.333333333333333
"thoughtbot/shoulda";77;19;0.246753246753247
"technicalpickles/jeweler";115;36;0.31304347826087
"relevance/rcov";39;3;0.0769230769230769
"amatsuda/kaminari";30;16;0.533333333333333
"thoughtbot/bourbon";2;0;0
"plataformatec/devise";32;22;0.6875
"justinfrench/formtastic";4;3;0.75
"josevalim/inherited_resources";5;2;0.4
"activerecord-hackery/meta_search";2;1;0.5
"sass/sass";78;33;0.423076923076923
"carrierwaveuploader/carrierwave";22;15;0.681818181818182
"fog/fog";34;27;0.794117647058823
"minimagick/minimagick";20;7;0.35
"jimweirich/builder";55;14;0.254545454545455
"svenfuchs/i18n";74;26;0.351351351351351
"kern/minitest-reporters";27;6;0.222222222222222
"metaskills/minitest-spec-rails";4;1;0.25
"deivid-rodriguez/pry-byebug";28;3;0.107142857142857
"nulldb/nulldb";2;2;1
"rails/arel";7;5;0.714285714285714
"rails/journey";1;1;1
"diogob/activerecord-postgres-hstore";1;0;0
"deivid-rodriguez/byebug";19;2;0.105263157894737
"guard/guard";79;21;0.265822784810127
"guard/guard-minitest";18;5;0.277777777777778
"paulelliott/fabrication";5;1;0.2
"sevenwire/forgery";4;2;0.5
"brianmario/mysql2";43;20;0.465116279069767
"hexorx/countries";2;2;1
"codegram/date_validator";1;1;1
"mikel/mail";28;18;0.642857142857143
"floere/phony";2;2;1
"luislavena/mysql-gem";15;1;0.0666666666666667
"mbleigh/acts-as-taggable-on";6;4;0.666666666666667
"collectiveidea/awesome_nested_set";5;2;0.4
"tcocca/acts_as_follower";1;0;0
"swanandp/acts_as_list";3;1;0.333333333333333
"ActsAsParanoid/acts_as_paranoid";1;0;0
"cucumber/cucumber-ruby";89;40;0.449438202247191
"RubyMoney/money-rails";1;0;0
"mperham/sidekiq";21;19;0.904761904761905
"ryanto/acts_as_votable";2;0;0
"rgrove/sanitize";7;2;0.285714285714286
"ruby-ldap/ruby-net-ldap";7;2;0.285714285714286
"sporkmonger/addressable";54;22;0.407407407407407
"copiousfreetime/launchy";66;15;0.227272727272727
"github/markup";6;1;0.166666666666667
"adhearsion/adhearsion";1;1;1
"cucumber/aruba";57;27;0.473684210526316
"travisjeffery/timecop";68;21;0.308823529411765
"ffi/ffi";35;19;0.542857142857143
"mperham/girl_friday";4;2;0.5
"TwP/logging";16;4;0.25
"benlangfeld/ruby_speech";2;2;1
"ai/autoprefixer-rails";9;1;0.111111111111111
"codahale/bcrypt-ruby";22;3;0.136363636363636
"CanCanCommunity/cancancan";12;4;0.333333333333333
